name;price;info;link;Серия:;"Размер прямоугольного корпуса, мм:";"Наличие на складе г. Смоленск:";"Глубина щели, мм:";Комплектация:;Корпус:;"Материал корпуса:";"Напряжение питания, В:";"Принцип действия:";"Резьба разъема:";Соединение:;Тип:;"Тип выходного сигнала:";"Тип света:";"Функция переключения:";"Частота переключения, Гц:";"Ширина щели, мм:";"Число контактов, pin:";"Страна происхождения:";"Температура эксплуатации Max, °C:";"Температура эксплуатации Min, °C:";"Сертификат соответствия:";"Вес, грамм:";"Защита от переполюсовки:";Индикация:;"Степень защиты:";"Минимальный диаметр объекта, мм:";"Длина волны, нм:";Особенности:;"Температура эксплуатации, °C:";"Потребление тока, мА:";"Влажность окружающей среды:";"Время отклика, мс:";"Длина кабеля, м:";"Защита от короткого замыкания:";"Защита от перегрузок по току:";"Макс. ток нагрузки, А:";"Расстояние срабатывания, мм:";"Минимальный зазор между объектами, мм:";Подключение:;Применение:;"Источник излучения:";"Кодировка разъема:";"Ширина этикетки Min, мм:";"Зазор между этикетками Min, мм:";Настройка:;"Класс безопасности систем управления SIL:";"Материал кабеля:";"Электрическое исполнение:";"Минимальный размер объекта, мм:";"Расположение разъема:";"Коммуникационный интерфейс:";"Температура окружающей среды, °C:";Дисплей:;"Класс защиты:";"Класс лазера:";"Защита от перегрузки:";"Диаметр светового пятна Max, мм:";"Регулировка чувствительности:";Модель:;Исполнение:;"Индикация срабатывания:";Модификация:;"Материал линзы:";"Максимальная скорость ленты, м/мин:";"Количество лучей:";"Количество проводов и сечение:";"Глубина установки (со стороны), мм:";"наличие в общем:";"Напряжение питания DC, В:";"(при использовании вне взрывоопасной зоны)";"5-30 DC";Кабель;IP67;-40…+100;NAMUR;NC;3000;"Длина стороны 1, мм:";"Длина стороны 2, мм:";"Потребляемая мощность, Вт:";5000;"(IEC 60825-1 : 2007";"Длина кабеля, мм:";"Активная зона обнаружения, мм:";Монтаж:;"Светодиодный индикатор:";"Время срабатывания, мс:";"Ширина щели:";Питание:;"Способ подключения:";"Тип излучателя:";"Функция на выходе:";"Частота переключений:";"Размеры рамки, мм:";"Глубина щели:";"Оптическая особенность:";"Наименование элемента:";"s:151:""В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары.";стекло;DC;Разъем;"оптический щелевой датчик для контроля кромки и ширины объекта";LED;"инфракрасный свет";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422";"400 Гц";"Количество оптических осей:";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422, RS 485";"50 Гц";"Минимальный размер распознаваемого объекта:";"Размер метки, мм:";"Количество жил:";"Оптическая ось:";"Точность, мм:";"Рабочий диапазон, мм:";"Аналоговый выход по напряжению, В:";"Ширина активной области:"
"Оптический щелевой датчик этикеток Leuze Electronic GS 63B/6.3-S8V";"38 304 руб.";"Число контактов, pin:;4;Серия:;GS 63;Источник излучения:;LED Светодиод;Время отклика, мс:;0,05;Температура эксплуатации Max, °C:;60;Ширина этикетки Min, мм:;2;Зазор между этикетками Min, мм:;2;Расположение разъема:;Вертикально (перпендикулярно движению ленты);Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;11x30x80;Вес, грамм:;55;Глубина щели, мм:;61;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Металл;Напряжение питания, В:;12-24 DC;Настройка:;Функция обучения;Особенности:;Применение в пищевой промышленности;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип выходного сигнала:;PUSH/PULL;Тип света:;инфракрасный свет;Частота переключения, Гц:;10000;Ширина щели, мм:;3";https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_63b_6_3_s8v/;"GS 63";11x30x80;;61;;;Металл;"12-24 DC";Оптический;M8;Разъем;;PUSH/PULL;"инфракрасный свет";;10000;3;4;;60;-20;;55;да;;IP67;;;"Применение в пищевой промышленности";-20…+60;;;0,05;;да;;;;;;;"LED Светодиод";;2;2;"Функция обучения";;;;;"Вертикально (перпендикулярно движению ленты)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик СЕНСОР ВБИ-Щ06У-1111-С";"5 552 руб.";"Страна происхождения:;Россия;Серия:;ВБИ;Температура эксплуатации Max, °C:;80;Температура эксплуатации Min, °C:;-45;Размер прямоугольного корпуса, мм:;18x26x28;Вес, грамм:;76;Длина кабеля, м:;2;Защита от короткого замыкания:;да;Защита от перегрузок по току:;да;Защита от переполюсовки:;да;Индикация:;есть;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,5;Материал корпуса:;Пластмасса;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP67;Тип выходного сигнала:;PNP;Функция переключения:;NO;Частота переключения, Гц:;1000;Ширина щели, мм:;6";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_sensor_vbi_shch06u_1111_s/;ВБИ;18x26x28;;;;Щелевой;Пластмасса;"12-24 DC";;;Кабель;;PNP;;NO;1000;6;;Россия;80;-45;;76;да;есть;IP67;;;;;;;;2;да;да;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический вилочный датчик Autonics BS5-K2M";"1 350 руб.";"Серия:;BS5;Температура эксплуатации Max, °C:;55;Температура эксплуатации Min, °C:;-20;Вес, грамм:;50;Глубина щели, мм:;9;Минимальный диаметр объекта, мм:;0,8?2;Длина волны, нм:;940;Корпус:;Тип K;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Особенности:;Миниатюрные датчики со встроенным усилителем;Соединение:;Разъем;Степень защиты:;IP50;Температура эксплуатации, °C:;-20…+55;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;5";https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_k2m/;BS5;;;9;;"Тип K";Пластик;"5-30 DC";;;Разъем;"Оптический вилочный";NPN;"инфракрасный свет";"на свет/на затемнение";2000;5;;;55;-20;;50;;;IP50;0,8?2;940;"Миниатюрные датчики со встроенным усилителем";-20…+55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический щелевой датчик этикеток Leuze Electronic GS 61/6-S8";"31 149 руб.";"Число контактов, pin:;4;Серия:;GS 61;Источник излучения:;LED Светодиод;Время отклика, мс:;0,05;Температура эксплуатации Max, °C:;60;Кодировка разъема:;A-coded;Ширина этикетки Min, мм:;2;Зазор между этикетками Min, мм:;2;Расположение разъема:;Горизонтально (параллельно движению ленты);Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;11x30x60;Вес, грамм:;20;Глубина щели, мм:;41;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Материал корпуса:;Пластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Особенности:;Самый тонкий оптический датчик для обнаружения этикеток;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип выходного сигнала:;PUSH/PULL;Тип света:;инфракрасный свет;Частота переключения, Гц:;10000;Ширина щели, мм:;3";https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_61_6_s8/;"GS 61";11x30x60;;41;;;Пластик;"12-24 DC";Оптический;M8;Разъем;;PUSH/PULL;"инфракрасный свет";;10000;3;4;;60;-20;;20;да;;IP65;;;"Самый тонкий оптический датчик для обнаружения этикеток";-20…+60;;;0,05;;да;;;;;;;"LED Светодиод";A-coded;2;2;Потенциометр;;;;;"Горизонтально (параллельно движению ленты)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик этикетки SICK WFS3-40N415";"16 680 руб.";"Страна происхождения:;Франция;Серия:;WFS;Источник излучения:;Светодиод;Минимальный зазор между объектами, мм:;2;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x25x64,3;Вес, грамм:;47;Глубина щели, мм:;42;Напряжение питания, В:;12-24 DC;Особенности:;Настраевыемый порог срабатывания при непрерывной ленте этикеток;Подключение:;4 pin;Применение:;Распознавание непрозрачных этикеток;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;NO/NC;Частота переключения, Гц:;10000;Ширина щели, мм:;3";https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_wfs3_40n415/;WFS;10x25x64,3;;42;;;;"12-24 DC";Оптический;M8;Разъем;;NPN;"инфракрасный свет";NO/NC;10000;3;;Франция;60;-20;;47;;;IP65;;;"Настраевыемый порог срабатывания при непрерывной ленте этикеток";-20…+60;;;;;;;;;2;"4 pin";"Распознавание непрозрачных этикеток";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик этикетки SICK WFS3-40P415";"16 680 руб.";"Страна происхождения:;Франция;Серия:;WFS;Источник излучения:;Светодиод;Минимальный зазор между объектами, мм:;2;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x25x64,3;Вес, грамм:;48;Глубина щели, мм:;42;Напряжение питания, В:;12-24 DC;Особенности:;Настраевыемый порог срабатывания при непрерывной ленте этикеток;Подключение:;4 pin;Применение:;Распознавание непрозрачных этикеток;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;NO/NC;Частота переключения, Гц:;10000;Ширина щели, мм:;3";https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_wfs3_40p415/;WFS;10x25x64,3;;42;;;;"12-24 DC";Оптический;M8;Разъем;;PNP;"инфракрасный свет";NO/NC;10000;3;;Франция;60;-20;;48;;;IP65;;;"Настраевыемый порог срабатывания при непрерывной ленте этикеток";-20…+60;;;;;;;;;2;"4 pin";"Распознавание непрозрачных этикеток";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик для этикеток DATASENSING SR23-5-IR-PH";"21 739 руб.";"Серия:;SR23;Размер прямоугольного корпуса, мм:;11x25x64;Глубина щели, мм:;50;Корпус:;Прямоугольный;Материал корпуса:;Метал;Напряжение питания, В:;12-24 DC;Особенности:;Экономичное решение, обеспечивающее точное обнаружение этикеток, в том числе многослойных;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;NC;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_datalogic_sr23_5_ir_ph/;SR23;11x25x64;;50;;Прямоугольный;Метал;"12-24 DC";Оптический;M8;Разъем;;PNP;"инфракрасный свет";NC;;5;;;;;;;;;;;;"Экономичное решение, обеспечивающее точное обнаружение этикеток, в том числе многослойных";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик для этикеток DATASENSING SR21-RG";"34 925 руб.";"Серия:;SR21;Размер прямоугольного корпуса, мм:;20x26x90;Глубина щели, мм:;50;Корпус:;Прямоугольный;Материал корпуса:;Метал;Напряжение питания, В:;12-24 DC;Особенности:;Высокое разрешение, высокая скорость и очень короткое время отклика при обнаружении этикетки;Принцип действия:;Оптический;Резьба разъема:;M8;Соединение:;Разъем;Тип выходного сигнала:;PNP/NPN;Тип света:;красный/зеленый;Функция переключения:;NO/NC;Ширина щели, мм:;2";https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_datalogic_sr21_rg/;SR21;20x26x90;;50;;Прямоугольный;Метал;"12-24 DC";Оптический;M8;Разъем;;PNP/NPN;красный/зеленый;NO/NC;;2;;;;;;;;;;;;"Высокое разрешение, высокая скорость и очень короткое время отклика при обнаружении этикетки";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SC3,5-G-N0-6M";"21 834 руб.";"Серия:;SC;Температура эксплуатации Max, °C:;100;Температура эксплуатации Min, °C:;-25;Длина кабеля, м:;6;Корпус:;Щелевой;Материал кабеля:;PVC;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-25…+100;Тип выходного сигнала:;NAMUR;Функция переключения:;NC;Частота переключения, Гц:;3000;Ширина щели, мм:;3,5;Электрическое исполнение:;2-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sc3_5_g_n0_6m/;SC;;;;;Щелевой;Пластик;"5-30 DC";;;Кабель;;NAMUR;;NC;3000;3,5;;;100;-25;;;;;IP67;;;;-25…+100;;;;6;;;;;;;;;;;;;;PVC;"2-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик для этикеток DATASENSING SR31";"34 327 руб.";"Серия:;SR31;Размер прямоугольного корпуса, мм:;13x50x70;Глубина щели, мм:;42;Длина кабеля, м:;2;Корпус:;Прямоугольный;Материал корпуса:;Метал;Напряжение питания, В:;12-24 DC;Особенности:;Обнаружение мелких предметов, движущихся с высокой скоростью;Принцип действия:;Оптический;Соединение:;Кабель;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;NC;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_datalogic_sr31/;SR31;13x50x70;;42;;Прямоугольный;Метал;"12-24 DC";Оптический;;Кабель;;PNP/NPN;"инфракрасный свет";NC;;30;;;;;;;;;;;;"Обнаружение мелких предметов, движущихся с высокой скоростью";;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ультразвуковой щелевой датчик этикетки Leuze Electronic GSU14E/LGT.3-M12";"86 742 руб.";"Число контактов, pin:;5;Серия:;GSU 14;Время отклика, мс:;0,2;Температура эксплуатации Max, °C:;60;Кодировка разъема:;A-coded;Ширина этикетки Min, мм:;4;Зазор между этикетками Min, мм:;2;Расположение разъема:;Горизонтально (параллельно движению ленты);Размер прямоугольного корпуса, мм:;22x46,9x96;Вес, грамм:;270;Глубина щели, мм:;80;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Коммуникационный интерфейс:;IO-Link;Материал корпуса:;Цинк;Напряжение питания, В:;18-30 DC;Настройка:;Кнопки управления;Особенности:;Обнаружение широких этикеток с металлическим покрытием и из фольги в пищевой промышленности;Принцип действия:;Ультразвуковой;Резьба разъема:;M12;Соединение:;Разъем;Степень защиты:;IP65;Температура эксплуатации, °C:;0…+60;Тип выходного сигнала:;PUSH/PULL;Функция переключения:;NO/NC;Частота переключения, Гц:;2000;Ширина щели, мм:;4";https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_gsu14e_lgt_3_m12/;"GSU 14";22x46,9x96;;80;;;Цинк;"18-30 DC";Ультразвуковой;M12;Разъем;;PUSH/PULL;;NO/NC;2000;4;5;;60;;;270;да;;IP65;;;"Обнаружение широких этикеток с металлическим покрытием и из фольги в пищевой промышленности";0…+60;;;0,2;;да;;;;;;;;A-coded;4;2;"Кнопки управления";;;;;"Горизонтально (параллельно движению ленты)";IO-Link;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ультразвуковой щелевой датчик этикетки Microsonic esf-1/CDF/A";"120 700 руб.";"Число контактов, pin:;5;Серия:;ESF;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;5;Глубина щели, мм:;70;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Коммуникационный интерфейс:;IO-Link;Материал корпуса:;Алюминий;Напряжение питания, В:;24 DC;Особенности:;Возможность обучения;Принцип действия:;Ультразвуковой;Резьба разъема:;M12;Соединение:;Разъем;Степень защиты:;IP65;Тип выходного сигнала:;PNP/NPN;Функция переключения:;NO/NC;Ширина щели, мм:;6";https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_microsonic_esf_1_cdf_a/;ESF;;;70;;;Алюминий;"24 DC";Ультразвуковой;M12;Разъем;;PNP/NPN;;NO/NC;;6;5;;60;5;;;да;;IP65;;;"Возможность обучения";;;;;;да;;;;;;;;;;;;;;;;;IO-Link;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик СЕНСОР ВБИ-Щ06У-1121-С";"5 552 руб.";"Страна происхождения:;Россия;Серия:;ВБИ;Температура эксплуатации Max, °C:;80;Температура эксплуатации Min, °C:;-45;Размер прямоугольного корпуса, мм:;18x26x28;Вес, грамм:;76;Длина кабеля, м:;2;Защита от короткого замыкания:;да;Защита от перегрузок по току:;да;Защита от переполюсовки:;да;Индикация:;есть;Корпус:;Щелевой;Макс. ток нагрузки, А:;0,5;Материал корпуса:;Пластмасса;Напряжение питания, В:;12-24 DC;Соединение:;Кабель;Степень защиты:;IP67;Тип выходного сигнала:;NPN;Функция переключения:;NO;Частота переключения, Гц:;1000;Ширина щели, мм:;6";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_sensor_vbi_shch06u_1121_s/;ВБИ;18x26x28;;;;Щелевой;Пластмасса;"12-24 DC";;;Кабель;;NPN;;NO;1000;6;;Россия;80;-45;;76;да;есть;IP67;;;;;;;;2;да;да;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WF2-40B410";"24 260 руб.";"Страна происхождения:;Франция;Серия:;WF;Источник излучения:;Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x32x57;Глубина щели, мм:;42;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Распознавание при очень высокой скорости объекта;Подключение:;4 pin;Применение:;Обнаружение краёв, отверстий и объектов на высокой скоросте;Соединение:;Разъем M8;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;2";https://sensoren.ru/product/shchelevoy_datchik_sick_wf2_40b410/;WF;10x32x57;;42;;;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;2;;Франция;60;-20;;;;;IP65;0,2;;"Распознавание при очень высокой скорости объекта";-20…+60;;;;;;;;;;"4 pin";"Обнаружение краёв, отверстий и объектов на высокой скоросте";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Оптический вилочный датчик Autonics BS5-T2M";"1 500 руб.";"Серия:;BS5;Температура эксплуатации Max, °C:;55;Температура эксплуатации Min, °C:;-20;Вес, грамм:;50;Глубина щели, мм:;9;Минимальный диаметр объекта, мм:;0,8?2;Длина волны, нм:;940;Корпус:;Тип T;Материал корпуса:;Пластик;Напряжение питания, В:;5-30 DC;Особенности:;Миниатюрные датчики со встроенным усилителем;Соединение:;Разъем;Степень защиты:;IP50;Температура эксплуатации, °C:;-20…+55;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;5";https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_t2m/;BS5;;;9;;"Тип T";Пластик;"5-30 DC";;;Разъем;"Оптический вилочный";NPN;"инфракрасный свет";"на свет/на затемнение";2000;5;;;55;-20;;50;;;IP50;0,8?2;940;"Миниатюрные датчики со встроенным усилителем";-20…+55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
